drug,ALogP,ALogp2,AMR,apol,nA,nF,nE,nG,nP,nS,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,bpol,nB,PPSA.1,PPSA.2,PPSA.3,PNSA.1,PNSA.2,PNSA.3,DPSA.1,DPSA.2,DPSA.3,FPSA.1,FPSA.2,FPSA.3,FNSA.1,FNSA.2,FNSA.3,WPSA.1,WPSA.2,WPSA.3,WNSA.1,WNSA.2,WNSA.3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,ECCEN,FMF,fragC,GRAV.1,GRAV.2,GRAV.3,GRAVH.1,GRAVH.2,GRAVH.3,GRAV.4,GRAV.5,GRAV.6,nHBAcc,nHBDon,HybRatio,Kier1,Kier2,Kier3,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.dsssP,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sBr,khs.sI,nAtomLC,nAtomP,LOBMAX,LOBMIN,nAtomLAC,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,MLogP,MOMI.X,MOMI.Y,MOMI.Z,MOMI.XY,MOMI.XZ,MOMI.YZ,MOMI.R,PetitjeanNumber,topoShape,geomShape,nRotB,LipinskiFailures,TopoPSA,VABC,VAdjMat,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WD.unity,MW,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,WPATH,WPOL,XLogP,Zagreb
CAPECITABINE,0.8203,0.67289209,82.945,49.738446,0,0,0,0,0,0,0,0,47,1.024651256,-0.622908401,0.220008307,-0.13528588,0.121825829,32.22879926,30.40179446,44.7467714,48.89155749,43.46657823,1304.370293,1500.183887,2052.478494,2032.959894,1759.266194,11.89,18.99840799,-0.387592012,0.34312815,4.479839242,9.621193278,34.961554,26,405.2610672,1175.32428,26.62622968,215.5185166,-625.0394271,-57.39691141,189.7425506,1800.363707,84.02314109,0.652826024,1.893303695,0.0428916,0.347173976,-1.006862087,-0.092459406,251.5777966,729.6173172,16.52901978,133.789495,-388.0117154,-35.63083077,0.118258479,0.133458707,0.959519977,3.823556973,396.1389293,224.6406544,0.638131375,0.361868625,0,0,2,1,0,4,6,0,0,0,0,0.07856742,0.336618737,0.612519015,0,0,0.045360921,0.12065274,0.13682798,1.819514289,0,0.595393025,0,0.636556686,0,0.116447361,0,4.400401668,6.36437096,9.33100154,1.22995671,1.492256976,1.600550953,18.56011345,11.84544301,10.63519011,8.705872963,6.549692035,5.150004289,3.266722427,2.120868828,14.01499049,8.088182465,5.80826683,3.859745069,2.422295717,1.393962421,0.72105978,0.392418527,590,0.234042553,1704.1,2214.843349,47.06212223,13.03509913,2452.476135,49.52248111,13.48553757,5021.869251,70.86514835,17.1246538,9,3,0.666666667,21.30177515,9.796296296,5.489603025,2,0,4,0,0,1,4,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,8,11,2.821546777,2.670580859,5,0.066666667,1.794805301,2.590195606,0,3.499642619,6.585701105,0,8.995581024,0,0,0.993219427,1.646220314,0.125,0,0,0,0.5,0.707106781,0,2.01,8653.455896,8179.953891,684.60483,1.057885657,12.64007427,11.94843146,7.986916451,0.466666667,0.875,0.922262921,8,0,120.69,324.5366756,5.700439718,0.557613625,1.753543404,31.89912301,0.016299593,0.051257792,0.440208491,0.432979971,0.605579567,34.21028004,74.70168206,140.1029148,0.449331962,1.47876803,359.3506774,49.49772158,1.979908863,28.27163104,16.14024198,9.565663928,1686,38,0.787,124
OSIMERTINIB,4.6712,21.82010944,148.6178,80.588169,0,0,0,0,0,0,21,22,70,0.749778362,-0.498895949,0.128988226,0.067076032,-0.140299191,41.06880018,43.8213688,61.12240743,65.59306491,66.25779264,2667.755511,3137.181658,4436.530832,4683.158487,4498.119741,11.79,15.99593593,-0.347124102,0.227758117,4.877917138,10.97204507,48.849831,40,605.8752873,1673.631298,33.06356478,186.8332722,-516.0963294,-21.97010657,419.0420151,2189.727627,55.03367135,0.764310263,2.111281981,0.04170961,0.235689737,-0.651054316,-0.027715238,480.2825263,1326.701855,26.20977081,148.1043341,-409.1139778,-17.41589153,0.082358936,0.12560958,0.326349763,1.988933335,718.6816001,74.0269594,0.906615163,0.093384837,0,0,4,14,2,2,0,0,0,0,0,0.07856742,0.457261675,0.7558125,0,0,0.032274861,0.150957869,0.202481431,2.583449812,0,0.522977298,0,1.253616526,0,0.176656724,0,5.692000577,8.992889371,13.13045069,2.237717399,2.865380998,3.460159247,26.52636878,17.79926405,16.03876992,13.17386472,10.85191515,9.238631299,6.63530712,4.852665344,21.94738759,11.9618961,9.049163503,6.12990987,4.140986972,2.926450863,1.656825733,0.983593744,1036,0.314285714,3997.09,3235.999429,56.88584559,14.79117966,3575.615596,59.79645137,15.29150652,7902.325416,88.8950247,19.91827099,7,2,0.25,29.97,14.0625,7.599707816,5,1,2,0,1,9,0,0,1,7,2,0,0,0,2,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,29,1.491711718,1.338915407,3,1.777383735,9.30261453,8.710149453,0,11.04800906,25.20198171,0,11.37165088,0,0,0,0.142857143,0,0,0,0,1.853144012,1.863618403,0.388067491,3.55,8982.439621,7369.026876,3751.162147,1.218945157,2.394575139,1.964465034,8.894346872,0.470588235,0.888888889,0.777945545,11,0,87.55,462.7384639,6.321928095,2.938223673,6.147628782,16.11311697,0.116600946,0.2439635,0.466486562,0.42441875,0.510459229,25.19896943,164.4645118,480.71646,0.229576665,1.401364541,499.6083823,75.18046478,2.031904454,27.36573507,5.302153816,22.06358125,4557,60,3.596,192
Lapatinib,6.2551,39.12627601,152.4478,81.621618,0,0,0,0,0,0,27,28,66,0.797906742,-0.359888571,-0.047967406,0.009631701,-0.006135774,59.88054443,57.64374844,75.21379356,74.31697737,68.46665492,2787.815806,3220.790379,4444.53186,4281.117366,3916.735251,11.85,34.96885475,-0.338928469,0.149528147,4.145509333,10.68619904,44.314382,44,503.073769,1460.956435,33.43361225,327.6806556,-951.6043012,-46.18435518,175.3931134,2412.560736,79.61796742,0.605562551,1.758590014,0.04024488,0.394437449,-1.145470037,-0.05559327,417.9307596,1213.696023,27.77512131,272.2221545,-790.5494837,-38.36785741,0.051266748,0.116647288,0,1.172659761,682.0637852,148.6906395,0.821017337,0.178982663,0,0,1,19,3,4,0,0,0,0,0,0.11785113,0.438832194,0.780805967,0,0,0.034020691,0.131390664,0.181663372,3.666826099,0.353553391,0.337267227,0,1.432434653,0.07212372,0.092989023,0,5.544474579,8.295492486,10.58926966,1.972694545,2.356627899,2.463233054,28.11430893,19.23129794,18.30094648,13.96394385,11.62045394,9.262584228,6.668824379,4.998224469,22.48524893,13.28734018,10.18669269,6.539698202,4.390576207,2.880354856,1.674572816,1.025328894,1499,0.454545455,3340.11,3992.335257,63.18492904,15.86386485,4261.70749,65.28175465,16.21291899,9383.53381,96.86864204,21.09221264,6,2,0.172413793,31.42561983,14.6503642,9.25,1,0,4,0,0,13,0,0,0,9,2,0,0,0,2,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,6,23,1.473510474,1.473510474,2,0,1.568058079,0.88122059,0,19.62842415,33.87549427,0,11.15681813,0,0,0.5,0.356348323,0.090909091,0,0,0,1.25992105,0,0,3.44,15955.51064,12335.07533,4561.64476,1.293507354,3.497753877,2.704085035,10.22235897,0.47826087,0.916666667,0.804343794,11,3,114.73,478.5193545,6.459431619,0.900812327,8.464383101,22.46432428,0.02830116,0.26592871,0.298832765,0.480498924,0.46884497,31.82951971,218.0076077,421.1235708,0.279327598,1.248176659,581.0596589,82.1487099,2.053717748,31.70037592,10.94735135,12.44670048,6645,59,5.409,212
ROCILETINIB,4.3346,18.78875716,144.946,77.967204,0,0,0,0,0,0,18,18,68,1.09199285,-0.681412527,0.266769877,-0.39092679,0.365640215,49.34940163,48.73263417,73.95179292,73.88652503,75.5543444,2506.738953,2921.493109,4036.946242,4236.968616,3925.811627,11.79,19.00042213,-0.34747083,0.420868112,3.785566299,10.02514991,46.630796,43,485.0731958,1652.724009,29.62172345,279.626568,-952.7336214,-47.7572347,205.4466278,2605.45763,77.37895815,0.634331562,2.161271766,0.03873641,0.365668438,-1.245892397,-0.062452268,370.9353583,1263.837659,22.65172493,213.8303705,-728.5551753,-36.5199461,0.123493803,0.101937618,0,1.5966872,658.4455861,106.2541777,0.861051117,0.138948883,0,0,5,13,1,6,0,0,0,0,0,0,0.30274943,0.479830666,0,0,0,0.116267796,0.132035758,3.718257438,0.288675135,0.745812289,0.11785113,1.058326873,0.013498731,0.146988601,0.003896748,6.615017142,9.760216794,12.34998599,2.045248427,2.467763898,2.527211502,28.86323207,19.06623181,17.95127615,13.93037624,11.28291649,8.918100916,6.775483829,4.89193505,21.879179,12.27371101,8.855530457,6.194129318,4.129366076,2.741274402,1.607773756,0.99119826,1342,0.382352941,3481.13,3620.202328,60.1681172,15.35480414,3913.128183,62.55500127,15.7582514,9339.884351,96.6430771,21.05945686,9,3,0.259259259,32.90427258,15.13464123,9.25,2,1,4,0,1,8,0,0,2,8,0,1,0,0,3,0,0,0,2,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,4,27,1.668695208,1.50712457,3,0.204652822,4.768152392,3.858153811,0.271441762,12.79760362,23.95537554,1.79803502,8.475566092,2.037036894,0,0.05,0.184900065,0,0,0,0,2.757635631,1.085489642,0.333333333,3,13241.02422,11441.56746,3135.547417,1.157273622,4.222874816,3.648985629,9.397388973,0.476190476,0.909090909,0.925468774,11,1,111.72,483.3353825,6.426264755,1.788953245,5.701467345,18.06190685,0.070011362,0.223129081,0.353925479,0.401788284,0.462034651,25.55232744,145.4909375,355.2685468,0.280144668,1.217748414,555.5525572,80.98199385,2.024549846,37.39923017,7.711634511,22.51195376,6059,64,3.756,208
AFATINIB,3.9174,15.34602276,129.7067,69.552825,0,0,0,0,0,0,16,17,59,0.874309712,-0.475148471,0.017832737,0.046618279,-0.129613002,47.33830266,43.0220169,61.32699687,64.21729787,58.04221623,2237.868502,2606.465024,3590.041371,3653.743416,3502.587889,11.85,34.96885419,-0.378011461,0.235628301,4.515570055,10.77921311,39.683175,37,498.2090783,1375.598056,31.34860782,296.9579084,-819.9262909,-49.37035015,201.2511699,2195.524347,80.71895796,0.626546482,1.729948652,0.03942393,0.373453518,-1.031137239,-0.062088028,396.1594115,1093.830161,24.92737801,236.1311252,-651.978318,-39.25767256,0.082517996,0.136861186,0.638389602,3.472807205,640.292482,154.8745046,0.805230213,0.194769787,0,0,2,13,1,3,2,0,0,0,0,0.144337567,0.293700392,0.537384563,0,0,0.083333333,0.093344042,0.127947125,2.379325666,0,0.386082763,0,1.118270239,0,0.087495962,0,4.729596323,6.805285898,9.638609333,1.639096853,1.922814592,2.102975782,24.07877502,16.38505049,15.02763858,11.84511435,9.610910549,7.651765736,5.757324249,4.318996016,19.6028231,11.14098385,8.506193117,5.387855367,3.600208603,2.187389083,1.321936378,0.79663548,888,0.389830508,2722.1,3086.650876,55.55763562,14.56003783,3345.124506,57.83705133,14.95560877,7141.022839,84.50457289,19.25691916,7,2,0.291666667,27.04601899,12.99192618,7.75,2,0,4,0,2,6,1,0,1,6,2,0,0,0,2,0,0,0,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,7,23,1.275200829,1.275200829,4,0.5,2.991018138,2.092906793,0,11.31799337,26.12916142,0,11.50351044,0,0,0,0.316227766,0.333333333,0,0,0,1.690361468,0.475682846,0,3,13077.58124,9349.518877,4669.0927,1.398743766,2.800882758,2.00242734,10.36575472,0.5,1,0.766940457,9,0,88.61,417.8027757,6.209453366,1.072242654,11.20598056,17.45254667,0.036065082,0.37691525,0.335966892,0.566001052,0.568991131,29.73076988,226.301794,465.7341678,0.190264751,1.470959075,485.939252,69.39474981,2.041022053,29.22206285,8.679284022,15.50707435,3655,50,3.101,176
GEFITINIB,4.2033,17.66773089,117.5388,64.266032,0,0,0,0,0,0,16,17,55,0.864691185,-0.470428825,-0.090250798,0.105186475,0.043343037,43.97832236,40.02174501,55.60735334,61.71875207,50.76476817,1967.770968,2284.907377,3114.553483,3200.816382,2745.346631,11.85,34.96885405,-0.378167292,0.235297726,4.513408914,10.5024158,38.887968,34,444.708279,1117.609582,27.5642793,223.8402764,-562.5396457,-40.63149106,220.8680025,1680.149227,68.19577036,0.665184713,1.671695455,0.041230033,0.334815287,-0.84143424,-0.060775677,297.3090775,747.1762713,18.42805911,149.6480935,-376.0850675,-27.16412466,0.058792232,0.150422874,0.375334094,3.534194953,550.1360051,118.4125503,0.822881151,0.177118849,0,0,1,11,1,6,1,0,0,0,0,0,0.293700392,0.550627782,0,0,0,0.104966898,0.141300147,1.682402241,0,0.386082763,0,0.770136442,0,0.084374505,0,4.188684521,6.144486275,8.696554672,1.54348449,1.895139081,2.035522416,21.63118127,15.13536159,13.17257056,11.23718018,9.019011988,7.584082688,5.116040281,3.754862281,17.99209263,10.49348001,7.559608522,5.372672717,3.622168134,2.444740082,1.315858932,0.784920689,866,0.490909091,2434.09,2835.143347,53.24606415,14.15332048,3079.557659,55.49376235,14.54887614,6740.452969,82.10026169,18.88990154,5,1,0.363636364,24.1349481,11.92344045,6.533333333,1,0,7,0,0,6,0,0,0,6,2,0,0,0,1,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,4,19,1.329105105,1.061524177,3,0,1.853775157,1.506132191,0,14.38050869,20.22792363,0,8.442719659,0,0,0,0,0.50471726,0,0,0,1.190550789,0.333333333,0,2.89,7916.09565,5797.335028,2986.985752,1.365471482,2.650195317,1.940864641,8.521980312,0.470588235,0.888888889,0.830008642,8,0,68.74,377.4869636,6.087462841,1.333838117,7.037579764,10.18526878,0.07187911,0.379247648,0.382529152,0.512634471,0.412307931,18.55668666,94.65213329,208.8178579,0.161654932,1.307471554,446.9031362,63.82014219,2.058714264,26.79803518,8.932877878,12.82961399,3020,48,3.18,160
NERATINIB,5.0948,25.95698704,155.7461,83.322997,0,0,0,0,0,0,22,23,69,0.889208087,-0.415532806,-0.111201616,0.043271976,-0.027909311,52.19623882,48.60641372,67.27437571,75.09223116,72.46398245,2729.57787,3168.271,4354.146618,4671.437774,4420.175846,11.85,34.96885443,-0.344262021,0.228077336,4.66835336,11.4342293,43.513003,43,619.8391103,1881.318264,37.28950961,315.1369224,-956.4947387,-51.97633105,304.7021879,2837.813003,89.26584065,0.662946523,2.012156674,0.039882851,0.337053477,-1.023015249,-0.055591084,579.5347124,1758.987487,34.86479776,294.6454695,-894.2996562,-48.5966238,0.075066347,0.113339641,0.576019433,0.887640679,774.2819978,160.694035,0.828130316,0.171869684,1,0,3,18,2,4,0,0,0,0,0,0,0.281214565,0.543496196,0,0,0,0.085872225,0.14012129,2.446372836,0,0.392822783,0,1.174844379,0,0.110304475,0,5.158451688,7.948211798,11.32327594,1.841670537,2.29428272,2.60858286,28.48455242,19.3717437,17.01286039,13.61514082,11.25889363,9.300006093,6.924255353,5.065210574,23.19701625,12.96554415,9.398221047,5.985542623,4.067144721,2.712751688,1.619798129,0.964456114,1326,0.362318841,3624.1,3548.881466,59.57248917,15.25330068,3847.943972,62.03179807,15.6702616,8531.476979,92.36599471,20.43343628,7,2,0.206896552,32.90427258,16.74078478,9.756756757,3,0,3,0,2,10,0,1,1,8,2,0,0,0,2,0,1,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,7,26,1.179622234,1.034355192,4,0.481411137,4.959771882,3.655814758,0,17.46949813,32.85473547,0,13.32044914,0,0,0,0.25819889,0.090909091,0,0.660632864,0.083333333,0.848754623,0.410676038,0,3.66,14981.7513,10006.76916,6713.190416,1.497161678,2.231688716,1.490613037,10.6406718,0.476190476,0.909090909,0.653001621,12,2,112.4,502.4255913,6.426264755,2.074418811,12.88662102,18.98406317,0.061110989,0.379631224,0.397836534,0.383521692,0.398138623,33.945103,310.7535743,852.1853819,0.16944334,1.179496848,557.0437304,81.40571524,2.035142881,29.11540262,8.609317173,17.93399872,6020,62,3.866,202
Adenosine,-2.0201,4.08080401,63.2276,34.976309,0,0,0,0,0,0,9,10,32,0.791268133,-0.375706703,-0.081540637,0.028936503,0.079437503,23.89777765,24.32227922,36.81339215,40.55183177,33.50443819,1088.029187,1320.922559,1948.257249,1815.606327,1501.738571,11.85,15.99793482,-0.39327242,0.286298885,4.321360212,9.836295903,21.407691,21,275.4172429,735.2933627,31.90777865,171.2493118,-457.1917176,-54.6146369,104.1679311,1192.48508,86.52241556,0.616605922,1.646179583,0.071435343,0.383394078,-1.023563803,-0.122271606,123.019671,328.4309531,14.25213756,76.49134012,-204.2122494,-24.39453171,0.078822438,0.147197502,1.002635421,5.139413753,227.2786187,219.3879361,0.508832856,0.491167144,0,0,2,1,0,2,3,0,0,0,0,0.174792465,0.505245192,0.906685661,0,0,0.074228435,0.151377202,0.188602885,1.33160016,0,0.548795288,0,0.574202721,0,0.122629879,0,3.98463666,6.513098489,8.692567773,1.255533761,1.645242561,1.728524315,13.56854962,9.130228955,8.263219974,7.758541701,6.387662332,4.705070972,3.372175703,2.302252021,9.787302124,5.686375131,4.311819368,3.178383098,2.166090822,1.283017887,0.717266469,0.394546868,288,0.4375,814.09,1766.164201,42.0257564,12.08770055,1924.80256,43.87257184,12.43928436,3838.47412,61.95542042,15.65739612,8,4,0.5,13.95918367,5.413111342,2.275555556,0,0,1,0,0,2,4,0,0,1,2,0,1,0,0,0,0,0,3,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,10,1.68378296,1.68378296,0,0,0,0,0,0.577757036,6.586065653,0,8.250205618,0,0,0.766309432,1,0,0,1.040041912,0.25,1.144714243,1.190550789,0,1.57,2679.190442,2201.029587,650.6569845,1.217244174,4.117669533,3.382780235,6.068982061,0.444444444,0.8,0.910471848,2,0,139.54,202.2458019,5.392317423,0.530675414,2.592525863,9.277146382,0.042795204,0.209068805,0.388504441,0.520458882,0.533450201,12.40034766,30.35018516,55.51393558,0.311101993,1.442413524,267.2417245,38.74547744,2.039235655,25.96886641,10.63636831,15.3324981,657,32,-1.417,104
FULVESTRANT,8.4124,70.76847376,154.9378,95.750271,0,0,0,0,0,0,6,6,88,0.710045241,-0.216871889,-0.273401976,0.191626653,0.004955349,56.96138084,53.46907937,80.41279461,87.91749662,67.24104783,3020.883365,3575.75136,5162.232016,5503.308287,4909.591298,11.9,31.97207318,-0.392372355,0.511807032,3.13209534,12.68131021,61.773729,44,673.5145953,1949.56918,30.48937962,307.9794663,-891.4836883,-61.8820201,365.535129,2841.052868,92.37139972,0.686213622,1.986328045,0.031064253,0.313786378,-0.908292493,-0.063048797,661.0505756,1913.490573,29.92514503,302.2800172,-874.985946,-60.73683525,0.156493167,0.135506898,0,2.840284798,842.8661724,138.6278891,0.858758301,0.141241699,0,0,0,4,2,4,17,4,1,0,0,0.083333333,0.43521958,0.904045782,0,0,0.083333333,0.333828695,0.633858327,4.515808385,0.544627825,2.619466564,1.265329332,2.088455158,0.156603675,0.628750133,0.105347151,10.19178149,12.38091584,16.66333636,4.790417674,7.441820521,10.57869177,29.83828805,19.33215401,18.89203769,15.16292578,11.07263834,8.986921536,7.17904989,5.522288998,24.69922525,16.46295261,14.14589988,11.39578874,8.955985185,7.035238667,5.239820035,3.899854275,1538,0.193181818,6641.09,3439.660348,58.64861762,15.09518778,3923.047588,62.63423655,15.77155539,8023.343277,89.57311694,20.01943384,2,2,0.8125,33.88429752,14.4,8.185941043,1,0,17,0,0,3,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,0,0,1,0,0,0,0,16,7,2.086368297,1.9515197,9,0,2.849757984,2.09002234,0.428988733,32.42324449,30.53531011,7.369768693,10.7319008,2.651489626,0.445192097,0.21930133,0,0,0,0,0,0,0,0,3.99,46896.76326,44650.73687,3646.706124,1.050302112,12.8600336,12.24412809,14.28616113,0.476190476,0.909090909,0.955630728,15,3,76.74,569.0102542,6.459431619,1.529721295,5.115882933,55.03522042,0.024800597,0.082941221,0.462385378,0.253465661,0.48620105,61.68082464,373.5681685,865.9477524,0.419193636,1.202052089,606.77308,82.68740068,2.01676587,22.66298831,7.61525656,0,7474,70,10.2,218
RUXOLITINIB,4.8785,23.79976225,105.2555,56.619481,0,0,0,0,0,0,18,18,50,1.109445424,-0.719038851,0.097380049,0.220651269,-0.172434745,45.30659598,41.14934971,71.01329674,61.98948491,58.41234545,1735.093154,2023.81731,2818.517019,2798.813948,2702.176218,11.85,19.00343004,-0.388601646,0.434695149,3.519874512,9.903490876,33.722519,35,348.8525603,1100.719602,25.41848855,322.0028077,-1016.001723,-52.30032209,26.84975251,2116.721324,77.71881064,0.520011581,1.640770357,0.03788967,0.479988419,-1.514486984,-0.077960652,234.0296127,738.4236533,17.05212949,216.0173121,-681.5902096,-35.08595182,0.137407204,0.123128447,0,2.749141762,583.7848186,87.07054939,0.870209655,0.129790345,0,0,2,9,0,5,0,1,0,0,0,0,0.234708048,0.325880176,0,0,0,0.054213488,0.059803658,5.527091883,0.93090366,0.949358737,0.288675135,1.588651094,0.185111345,0.068238278,0.006970715,6.42786979,8.08916005,10.88828937,1.360217386,1.398725586,1.453272944,24.44094682,15.20445793,16.61948937,10.52181859,8.271928674,7.169319447,4.754414171,3.904691307,17.12227681,9.27864274,7.430561112,3.889662602,2.430344635,1.634292126,0.847138618,0.532568563,717,0.38,1648.14,3072.272434,55.42808344,14.53739446,3257.52036,57.07469107,14.82389669,7913.100802,88.95561141,19.9273202,8,3,0.315789474,27.58530612,10.94766821,8.561236623,2,0,1,0,0,6,0,0,0,7,0,3,0,0,2,0,0,0,5,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,20,1.435659205,1.382796295,3,0.5,1.902985741,2.036441265,1.252238413,4.301305006,12.33227183,3.639500311,6.055553248,4.206810106,0.301006719,0,0,0,0,0,0,5.70619435,0,0,2.01,9784.404429,7256.734968,3009.783544,1.348320487,3.250866478,2.411048789,8.911010226,0.461538462,0.857142857,0.883905317,8,0,108.74,365.8555634,6.129283017,0.575581259,6.734158096,17.68982721,0.02302365,0.269370994,0.301081896,0.421375269,0.565298462,24.99956657,133.1840813,226.7503945,0.280704017,1.287755627,473.3757216,65.86870936,1.996021496,38.57536223,2.3625209,21.91836479,3290,49,3.023,176
Amiloride,2.7411,7.51362921,87.719,48.522274,0,0,0,0,0,0,14,15,41,0.387540774,-0.159590433,0.032750727,-0.189629644,0.204427275,25.15988181,28.02179963,38.88032573,35.82509286,39.26792247,1561.886284,1870.382403,2652.632567,2382.053558,2381.011522,11.85,14.00812569,-0.262734245,0.125468186,4.275070249,10.74362274,25.617726,26,397.9978359,646.6040035,24.63676851,161.470532,-262.3318095,-31.1393941,236.5273038,908.935813,55.77616261,0.71138577,1.155747207,0.044036035,0.28861423,-0.468894802,-0.0556589,222.6671996,361.7544865,13.78349267,90.337655,-146.7663493,-17.42150599,0.083101291,0.161603259,2.242812337,9.22412197,436.239396,123.2289718,0.779739161,0.220260839,1,0,4,2,2,0,6,1,0,0,0,0.380039828,0.438832194,0.651057338,0,0,0.219337567,0.173145999,0.208898094,1.074914957,0,0.327721083,0,0.606048105,0,0.130829941,0,3.163921995,5.695544702,7.432515024,1.508998118,2.239076105,2.298920088,15.6480536,11.36450464,9.779874487,8.73226915,7.808341836,5.501421472,4.035026903,2.97190042,12.81305377,8.061480309,6.145373004,4.813106787,3.656009696,1.98289704,1.239997557,0.726768224,419,0.487804878,1430.06,2051.359219,45.29193327,12.70614789,2236.183078,47.28829748,13.07682923,4238.235613,65.1017328,16.18309929,4,1,0.4375,16.46745562,7.486111111,3.38331411,0,0,5,0,0,5,2,1,0,2,2,0,0,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,1.503348303,1.384043393,3,0,0,0,0,12.38903853,18.32558552,0,5.479913756,0,0,0,0,0,0,0.502973372,0.25,1.650963624,1.154700538,0,2.67,4478.930787,3956.901014,1047.952812,1.131928944,4.273981362,3.77583892,7.372668692,0.5,1,0.842817156,4,0,83.18,265.3512542,5.700439718,1.34134858,2.842405017,13.8347988,0.074442638,0.1577488,0.427299524,0.361505705,0.573882957,18.0185524,61.69404518,132.4599253,0.325856421,1.362688186,306.3656631,47.79661619,2.078113747,18.3708959,0,18.3708959,1191,33,2.696,124
